ds,y
1/2/2017,138
1/3/2017,167
1/4/2017,120
1/5/2017,106
1/6/2017,132
1/7/2017,138
1/8/2017,110
1/9/2017,157
1/10/2017,161
1/11/2017,172
1/12/2017,160
1/13/2017,179
1/14/2017,132
1/15/2017,139
1/16/2017,143
1/17/2017,161
1/18/2017,169
1/19/2017,177
1/20/2017,168
1/21/2017,182
1/22/2017,151
1/23/2017,172
1/24/2017,178
1/25/2017,154
1/26/2017,159
1/27/2017,190
1/28/2017,169
1/29/2017,160
1/30/2017,205
1/31/2017,204
2/1/2017,182
2/2/2017,137
2/3/2017,151
2/4/2017,172
2/5/2017,140
2/6/2017,177
2/7/2017,175
2/8/2017,142
2/9/2017,169
2/10/2017,177
2/11/2017,186
2/12/2017,129
2/13/2017,156
2/14/2017,197
2/15/2017,196
2/16/2017,174
2/17/2017,192
2/18/2017,158
2/19/2017,120
2/20/2017,138
2/21/2017,192
2/22/2017,171
2/23/2017,158
2/24/2017,141
2/25/2017,120
2/26/2017,140
2/27/2017,179
2/28/2017,129
3/1/2017,197
3/2/2017,138
3/3/2017,171
3/4/2017,170
3/5/2017,161
3/6/2017,179
3/7/2017,143
3/8/2017,152
3/9/2017,176
3/10/2017,196
3/11/2017,142
3/12/2017,157
3/13/2017,180
3/14/2017,170
3/15/2017,164
3/16/2017,182
3/17/2017,201
3/18/2017,185
3/19/2017,148
3/20/2017,179
3/21/2017,176
3/22/2017,164
3/23/2017,173
3/24/2017,181
3/25/2017,141
3/26/2017,156
3/27/2017,183
3/28/2017,155
3/29/2017,173
3/30/2017,190
3/31/2017,158
4/1/2017,175
4/2/2017,164
4/3/2017,179
4/4/2017,144
4/5/2017,175
4/6/2017,172
4/7/2017,235
4/8/2017,178
4/9/2017,163
4/10/2017,152
4/11/2017,160
4/12/2017,146
4/13/2017,164
4/14/2017,188
4/15/2017,179
4/16/2017,153
4/17/2017,179
4/18/2017,166
4/19/2017,198
4/20/2017,159
4/21/2017,183
4/22/2017,153
4/23/2017,155
4/24/2017,185
4/25/2017,181
4/26/2017,185
4/27/2017,167
4/28/2017,183
4/29/2017,142
4/30/2017,145
5/1/2017,195
5/2/2017,179
5/3/2017,155
5/4/2017,176
5/5/2017,193
5/6/2017,173
5/7/2017,149
5/8/2017,178
5/9/2017,182
5/10/2017,172
5/11/2017,194
5/12/2017,214
5/13/2017,175
5/14/2017,146
5/15/2017,181
5/16/2017,180
5/17/2017,159
5/18/2017,140
5/19/2017,165
5/20/2017,167
5/21/2017,153
5/22/2017,171
5/23/2017,178
5/24/2017,200
5/25/2017,178
5/26/2017,201
5/27/2017,189
5/28/2017,211
5/29/2017,187
5/30/2017,183
5/31/2017,191
6/1/2017,241
6/2/2017,170
6/3/2017,185
6/4/2017,181
6/5/2017,208
6/6/2017,162
6/7/2017,186
6/8/2017,187
6/9/2017,180
6/10/2017,186
6/11/2017,177
6/12/2017,185
6/13/2017,180
6/14/2017,199
6/15/2017,191
6/16/2017,216
6/17/2017,200
6/18/2017,200
6/19/2017,156
6/20/2017,188
6/21/2017,183
6/22/2017,195
6/23/2017,208
6/24/2017,175
6/25/2017,146
6/26/2017,208
6/27/2017,209
6/28/2017,171
6/29/2017,205
6/30/2017,189
7/1/2017,206
7/2/2017,181
7/3/2017,209
7/4/2017,172
7/5/2017,170
7/6/2017,195
7/7/2017,195
7/8/2017,182
7/9/2017,173
7/10/2017,168
7/11/2017,173
7/12/2017,155
7/13/2017,185
7/14/2017,212
7/15/2017,171
7/16/2017,148
7/17/2017,192
7/18/2017,217
7/19/2017,169
7/20/2017,181
7/21/2017,189
7/22/2017,166
7/23/2017,188
7/24/2017,172
7/25/2017,179
7/26/2017,192
7/27/2017,203
7/28/2017,228
7/29/2017,192
7/30/2017,166
7/31/2017,188
8/1/2017,218
8/2/2017,199
8/3/2017,206
8/4/2017,210
8/5/2017,175
8/6/2017,178
8/7/2017,136
8/8/2017,170
8/9/2017,223
8/10/2017,184
8/11/2017,199
8/12/2017,203
8/13/2017,182
8/14/2017,192
8/15/2017,203
8/16/2017,190
8/17/2017,191
8/18/2017,242
8/19/2017,219
8/20/2017,187
8/21/2017,218
8/22/2017,201
8/23/2017,225
8/24/2017,219
8/25/2017,232
8/26/2017,177
8/27/2017,171
8/28/2017,192
8/29/2017,210
8/30/2017,223
8/31/2017,180
9/1/2017,241
9/2/2017,183
9/3/2017,165
9/4/2017,180
9/5/2017,185
9/6/2017,198
9/7/2017,184
9/8/2017,185
9/9/2017,162
9/10/2017,152
9/11/2017,198
9/12/2017,217
9/13/2017,214
9/14/2017,209
9/15/2017,216
9/16/2017,203
9/17/2017,185
9/18/2017,204
9/19/2017,167
9/20/2017,207
9/21/2017,166
9/22/2017,209
9/23/2017,145
9/24/2017,129
9/25/2017,152
9/26/2017,159
