Hour of First Occurrence Date,Is Crime
"January 2, 2017 at 12 AM",4
"January 2, 2017 at 1 AM",4
"January 2, 2017 at 2 AM",2
"January 2, 2017 at 3 AM",2
"January 2, 2017 at 4 AM",2
"January 2, 2017 at 5 AM",2
"January 2, 2017 at 6 AM",1
"January 2, 2017 at 7 AM",4
"January 2, 2017 at 8 AM",7
"January 2, 2017 at 9 AM",11
"January 2, 2017 at 10 AM",4
"January 2, 2017 at 11 AM",4
"January 2, 2017 at 12 PM",11
"January 2, 2017 at 1 PM",6
"January 2, 2017 at 2 PM",7
"January 2, 2017 at 3 PM",11
"January 2, 2017 at 4 PM",6
"January 2, 2017 at 5 PM",9
"January 2, 2017 at 6 PM",6
"January 2, 2017 at 7 PM",10
"January 2, 2017 at 8 PM",9
"January 2, 2017 at 9 PM",3
"January 2, 2017 at 10 PM",8
"January 2, 2017 at 11 PM",5
"January 3, 2017 at 12 AM",8
"January 3, 2017 at 1 AM",2
"January 3, 2017 at 2 AM",4
"January 3, 2017 at 3 AM",14
"January 3, 2017 at 4 AM",3
"January 3, 2017 at 5 AM",1
"January 3, 2017 at 6 AM",3
"January 3, 2017 at 7 AM",3
"January 3, 2017 at 8 AM",7
"January 3, 2017 at 9 AM",7
"January 3, 2017 at 10 AM",7
"January 3, 2017 at 11 AM",5
"January 3, 2017 at 12 PM",2
"January 3, 2017 at 1 PM",3
"January 3, 2017 at 2 PM",8
"January 3, 2017 at 3 PM",15
"January 3, 2017 at 4 PM",12
"January 3, 2017 at 5 PM",8
"January 3, 2017 at 6 PM",15
"January 3, 2017 at 7 PM",8
"January 3, 2017 at 8 PM",4
"January 3, 2017 at 9 PM",13
"January 3, 2017 at 10 PM",5
"January 3, 2017 at 11 PM",10
"January 4, 2017 at 12 AM",10
"January 4, 2017 at 1 AM",1
"January 4, 2017 at 2 AM",3
"January 4, 2017 at 3 AM",2
"January 4, 2017 at 4 AM",3
"January 4, 2017 at 5 AM",3
"January 4, 2017 at 6 AM",4
"January 4, 2017 at 7 AM",6
"January 4, 2017 at 8 AM",7
"January 4, 2017 at 9 AM",8
"January 4, 2017 at 10 AM",5
"January 4, 2017 at 12 PM",4
"January 4, 2017 at 1 PM",10
"January 4, 2017 at 2 PM",9
"January 4, 2017 at 3 PM",11
"January 4, 2017 at 4 PM",6
"January 4, 2017 at 5 PM",5
"January 4, 2017 at 6 PM",3
"January 4, 2017 at 7 PM",1
"January 4, 2017 at 8 PM",4
"January 4, 2017 at 9 PM",7
"January 4, 2017 at 10 PM",5
"January 4, 2017 at 11 PM",3
"January 5, 2017 at 12 AM",5
"January 5, 2017 at 1 AM",2
"January 5, 2017 at 2 AM",5
"January 5, 2017 at 3 AM",2
"January 5, 2017 at 4 AM",4
"January 5, 2017 at 5 AM",1
"January 5, 2017 at 6 AM",3
"January 5, 2017 at 7 AM",7
"January 5, 2017 at 8 AM",5
"January 5, 2017 at 9 AM",2
"January 5, 2017 at 10 AM",4
"January 5, 2017 at 11 AM",1
